name,protein,fat,carbohydrates,sugar,sodium,calories,class,,
Banana,1.1,0.3,23.0,12.0,1.0,89.0,0,,
Small Banana,1.1,0.3,23.0,12.0,1.0,90.0,0,,
Banana Dippers,1.0,4.5,13.0,7.0,10.0,100.0,0,,
Mini Banana,0.5,0.0,14.5,10.5,0.0,55.0,0,,
Banana (Small),1.1,0.3,23.0,12.0,1.0,90.0,0,,
Banana Bread,3.0,7.0,32.0,9.0,150.0,190.0,0,,
Muffin,3.0,11.0,23.0,13.0,140.0,200.0,0,,
Banana Pancakes,20.0,10.0,39.0,10.0,422.0,315.0,0,,
Banana Bread,2.0,2.0,16.0,10.0,8.0,92.0,0,,
Banana Medium,1.3,0.0,27.0,14.4,0.0,105.0,0,,
Peeled Banana,1.0,0.0,24.0,15.0,0.0,88.0,0,,
Banana,1.37,0.42,28.78,15.41,0.0,110.0,0,,
Banana (Chiquita),1.0,0.0,30.0,19.0,0.0,110.0,0,,
Banana Bread,7.0,3.0,29.0,1.0,280.0,160.0,0,,
1/2 Banana,0.64,0.19,13.48,7.22,1.0,53.0,0,,
Banana Argentina Lu,1.1,0.33,23.0,12.0,1.0,89.0,0,,
Med Banana,1.3,0.4,27.0,14.4,1.2,105.0,0,,
Fda Banana Medium,1.0,0.4,30.0,19.0,0.0,110.0,0,,
Banana Dati Corretti,1.1,0.3,23.0,12.0,1.0,89.0,0,,
Banana Fresh,0.3,0.0,6.5,3.5,0.0,25.0,0,,
Fruit,0.8,0.24,16.67,8.93,1.0,65.0,0,,
Banana 3.5 oz,1.0,0.2,22.0,0.0,0.0,88.0,0,,
Banana - Medium (126g),1.0,0.0,29.0,15.0,0.0,110.0,0,,
Banana Bread,5.0,10.0,44.0,0.0,220.0,280.0,0,,
Banana Smoothie,12.0,15.0,53.0,19.0,35.0,380.0,0,,
Banana Nut Bread,6.0,21.0,52.0,31.0,350.0,420.0,0,,
